1:Inclusiveness/Affordability;2:Privacy/Well-being;3:Security of supply/Environmental sustainability;4:Affordability/Privacy;5:Security of supply/Inclusiveness;6:Environmental sustainability/Well-being;7:Privacy/Security of supply;8:Inclusiveness/Environmental sustainability;9:Well-being/Affordability;10:Privacy/Environmental sustainability;11:Well-being/Security of supply;12:Affordability/Environmental sustainability;13:Privacy/Inclusiveness;14:Security of supply/Affordability;15:Inclusiveness/Well-being
Medium difficulty;Medium difficulty;Difficult;Difficult;Easy;Medium difficulty;Difficult;Difficult;Difficult;Medium difficulty;Difficult;Very difficult;Difficult;Medium difficulty;Easy
Very difficult;Easy;Easy;Very easy;Difficult;Medium difficulty;Medium difficulty;Difficult;Easy;Easy;Medium difficulty;Difficult;Medium difficulty;Medium difficulty;Very difficult
Difficult;Easy;Very easy;Medium difficulty;Easy;Easy;Easy;Medium difficulty;Easy;Easy;Very easy;Very difficult;Easy;Easy;Easy
Difficult;Very easy;Medium difficulty;Easy;Difficult;Difficult;Very difficult;Difficult;Difficult;Difficult;Difficult;Easy;Easy;Very easy;Very difficult
Very easy;Easy;Very easy;Very difficult;Very easy;Easy;Very easy;Very difficult;Very easy;Easy;Very easy;Difficult;Very easy;Very easy;Medium difficulty
Difficult;Very difficult;Very easy;Very difficult;Difficult;Difficult;Very difficult;Easy;Very easy;Difficult;Easy;Difficult;Difficult;Medium difficulty;Easy
Easy;Easy;Difficult;Easy;Very easy;Difficult;Easy;Difficult;Easy;Easy;Easy;Difficult;Easy;Medium difficulty;Very difficult
Easy;Difficult;Very easy;Easy;Medium difficulty;Difficult;Very difficult;Very difficult;Easy;Difficult;Very easy;Difficult;Very difficult;Easy;Difficult
Very easy;Very easy;Easy;Very easy;Easy;Easy;Very easy;Medium difficulty;Easy;Very easy;Very easy;Very easy;Very easy;Easy;Medium difficulty
Medium difficulty;Easy;Easy;Very easy;Medium difficulty;Easy;Easy;Medium difficulty;Easy;Easy;Easy;Medium difficulty;Easy;Medium difficulty;Medium difficulty
Very easy;Very easy;Very easy;Very easy;Very easy;Very easy;Very easy;Medium difficulty;Very easy;Very easy;Very easy;Medium difficulty;Very easy;Very easy;Easy
Medium difficulty;Difficult;Medium difficulty;Difficult;Medium difficulty;Medium difficulty;Medium difficulty;Very difficult;Medium difficulty;Medium difficulty;Medium difficulty;Medium difficulty;Medium difficulty;Medium difficulty;Medium difficulty
Difficult;Very easy;Very easy;Easy;Very easy;Very easy;Easy;Difficult;Medium difficulty;Easy;Very easy;Very easy;Easy;Very easy;Easy
Difficult;Very easy;Very easy;Easy;Difficult;Easy;Very easy;Very difficult;Very easy;Very easy;Very easy;Difficult;Very easy;Medium difficulty;Easy
Difficult;Very difficult;Medium difficulty;Very difficult;Easy;Medium difficulty;Very difficult;Easy;Very easy;Difficult;Easy;Medium difficulty;Medium difficulty;Difficult;Very difficult
