1:Inclusiveness/Affordability;2:Privacy/Well-being;3:Security of supply/Environmental sustainability;4:Affordability/Privacy;5:Security of supply/Inclusiveness;6:Environmental sustainability/Well-being;7:Privacy/Security of supply;8:Inclusiveness/Environmental sustainability;9:Well-being/Affordability;10:Privacy/Environmental sustainability;11:Well-being/Security of supply;12:Affordability/Environmental sustainability;13:Privacy/Inclusiveness;14:Security of supply/Affordability;15:Inclusiveness/Well-being
Little relevance;Relevant;Medium relevance;Little relevance;Medium relevance;Little relevance;Medium relevance;Very little relevance;Medium relevance;Little relevance;Relevant;Relevant;Little relevance;Relevant;Relevant
Relevant;Very relevant;Little relevance;Relevant;Relevant;Very relevant;Very relevant;Relevant;Relevant;Medium relevance;Relevant;Very relevant;Very relevant;Relevant;Very relevant
Little relevance;Relevant;Relevant;Relevant;Medium relevance;Relevant;Medium relevance;Relevant;Medium relevance;Medium relevance;Relevant;Relevant;Medium relevance;Very relevant;Medium relevance
Little relevance;Very relevant;Very relevant;Very relevant;Very relevant;Very relevant;Medium relevance;Medium relevance;Very relevant;Very relevant;Very relevant;Very relevant;Medium relevance;Relevant;Relevant
Very relevant;Very relevant;Very relevant;Very relevant;Medium relevance;Relevant;Very little relevance;Very little relevance;Very relevant;Very relevant;Very relevant;Very relevant;Little relevance;Very relevant;Little relevance
Little relevance;Medium relevance;Medium relevance;Medium relevance;Very relevant;Very relevant;Medium relevance;Relevant;Medium relevance;Medium relevance;Medium relevance;Medium relevance;Relevant;Medium relevance;Medium relevance
Medium relevance;Relevant;Medium relevance;Medium relevance;Medium relevance;Medium relevance;Medium relevance;Medium relevance;Medium relevance;Medium relevance;Medium relevance;Medium relevance;Medium relevance;Medium relevance;Medium relevance
Medium relevance;Relevant;Medium relevance;Very relevant;Medium relevance;Very relevant;Relevant;Relevant;Medium relevance;Medium relevance;Relevant;Medium relevance;Relevant;Medium relevance;Relevant
Relevant;Very relevant;Relevant;Very relevant;Relevant;Relevant;Relevant;Relevant;Relevant;Relevant;Relevant;Relevant;Relevant;Relevant;Relevant
Relevant;Relevant;Medium relevance;Relevant;Relevant;Medium relevance;Very relevant;Medium relevance;Relevant;Relevant;Relevant;Relevant;Relevant;Relevant;Relevant
Medium relevance;Medium relevance;Medium relevance;Medium relevance;Medium relevance;Medium relevance;Medium relevance;Little relevance;Medium relevance;Medium relevance;Medium relevance;Little relevance;Medium relevance;Medium relevance;Medium relevance
Medium relevance;Relevant;Relevant;Relevant;Relevant;Relevant;Relevant;Medium relevance;Relevant;Relevant;Relevant;Relevant;Relevant;Relevant;Relevant
Medium relevance;Relevant;Relevant;Very relevant;Very little relevance;Medium relevance;Relevant;Little relevance;Relevant;Little relevance;Relevant;Very relevant;Medium relevance;Medium relevance;Little relevance
Medium relevance;Relevant;Relevant;Medium relevance;Medium relevance;Medium relevance;Medium relevance;Medium relevance;Medium relevance;Very little relevance;Very relevant;Medium relevance;Very little relevance;Medium relevance;Medium relevance
Relevant;Medium relevance;Relevant;Very relevant;Relevant;Relevant;Very relevant;Relevant;Little relevance;Relevant;Relevant;Very relevant;Relevant;Relevant;Very relevant
