Id;Time;Param;Profile;Sliders_responses;Choice_responses;Acceptability_responses
26c44a96-5fe6-4730-aed0-1eec85c95109;Wed Aug  2 10:35:55 2023;"[array([1., 1., 1., 0., 0., 0., 0., 0., 0.]), array([1., 1., 0., 1.]), array(['Inclusiveness', 'Well-being', 'Environmental sustainability',
       'Privacy', 'Security of supply', 'Affordability'], dtype=object), array(['1:Inclusiveness/Affordability', '11:Privacy/Well-being',
       '8:Security of supply/Environmental sustainability',
       '3:Affordability/Privacy', '7:Security of supply/Inclusiveness',
       '14:Environmental sustainability/Well-being',
       '6:Privacy/Security of supply',
       '13:Inclusiveness/Environmental sustainability',
       '4:Well-being/Affordability',
       '10:Privacy/Environmental sustainability',
       '15:Well-being/Security of supply',
       '2:Affordability/Environmental sustainability',
       '9:Privacy/Inclusiveness', '5:Security of supply/Affordability',
       '12:Inclusiveness/Well-being'], dtype=object)]";['25 - 34 ans' 'Etudiant' '1' 'Non' 'Oui' 'Oui' 'Oui' 'Principale' '\n'];[0.8333333333333334, 0.6666666666666667, 1.0, 0.5, 0.33333333333333337, 0.5];[[1.0, 1.0, 0.5, 0.25], [11.0, 1.0, 0.5, 0.75], [8.0, 0.0, 0.75, 0.5], [3.0, 0.0, 0.75, 0.25], [7.0, 1.0, 0.25, 0.5], [14.0, 1.0, 0.5, 0.25], [6.0, 1.0, 0.75, 0.5], [13.0, 1.0, 0.75, 0.0], [4.0, 1.0, 0.75, 0.5], [10.0, 1.0, 0.5, 0.25], [15.0, 1.0, 0.75, 0.75], [2.0, 1.0, 1.0, 0.75], [9.0, 1.0, 0.75, 0.25], [5.0, 0.0, 0.5, 0.75], [12.0, 0.0, 0.25, 0.75]];[]
e1226ea1-9cc4-4535-bfeb-03bd77ecd884;Wed Aug  2 14:14:19 2023;"[array([1., 1., 1., 0., 0., 0., 0., 0., 0.]), array([1., 1., 0., 1.]), array(['Inclusiveness', 'Well-being', 'Environmental sustainability',
       'Privacy', 'Security of supply', 'Affordability'], dtype=object), array(['1:Inclusiveness/Affordability', '11:Privacy/Well-being',
       '8:Security of supply/Environmental sustainability',
       '3:Affordability/Privacy', '7:Security of supply/Inclusiveness',
       '14:Environmental sustainability/Well-being',
       '6:Privacy/Security of supply',
       '13:Inclusiveness/Environmental sustainability',
       '4:Well-being/Affordability',
       '10:Privacy/Environmental sustainability',
       '15:Well-being/Security of supply',
       '2:Affordability/Environmental sustainability',
       '9:Privacy/Inclusiveness', '5:Security of supply/Affordability',
       '12:Inclusiveness/Well-being'], dtype=object)]";"['18 - 24 ans' 'Etudiant' '0' 'Variable' 'Variable' 'Variable' 'Variable'
 'Principale' '\n']";[0.5, 0.6666666666666667, 0.8333333333333334, 1.0, 0.16666666666666674, 0.5];[[1.0, 0.0, 1.0, 0.75], [11.0, 1.0, 0.25, 1.0], [8.0, 0.0, 0.25, 0.25], [3.0, 1.0, 0.0, 0.75], [7.0, 0.0, 0.75, 0.75], [14.0, 1.0, 0.5, 1.0], [6.0, 1.0, 0.5, 1.0], [13.0, 0.0, 0.75, 0.75], [4.0, 0.0, 0.25, 0.75], [10.0, 1.0, 0.25, 0.5], [15.0, 0.0, 0.5, 0.75], [2.0, 0.0, 0.75, 1.0], [9.0, 1.0, 0.5, 1.0], [5.0, 0.0, 0.5, 0.75], [12.0, 0.0, 1.0, 1.0]];[]
9efc7cc1-2540-4958-b243-c6a7924f9a7e;Wed Aug  2 15:38:10 2023;"[array([1., 1., 1., 0., 0., 0., 0., 0., 0.]), array([1., 1., 0., 1.]), array(['Inclusiveness', 'Well-being', 'Environmental sustainability',
       'Privacy', 'Security of supply', 'Affordability'], dtype=object), array(['1:Inclusiveness/Affordability', '11:Privacy/Well-being',
       '8:Security of supply/Environmental sustainability',
       '3:Affordability/Privacy', '7:Security of supply/Inclusiveness',
       '14:Environmental sustainability/Well-being',
       '6:Privacy/Security of supply',
       '13:Inclusiveness/Environmental sustainability',
       '4:Well-being/Affordability',
       '10:Privacy/Environmental sustainability',
       '15:Well-being/Security of supply',
       '2:Affordability/Environmental sustainability',
       '9:Privacy/Inclusiveness', '5:Security of supply/Affordability',
       '12:Inclusiveness/Well-being'], dtype=object)]";"['18 - 24 ans' 'Etudiant' '4' 'Variable' 'Oui' 'Variable' 'Oui'
 'Principale' 'non\n']";[0.8333333333333334, 1.0, 0.6666666666666667, 1.0, 0.5, 0.8333333333333334];[[1.0, 0.0, 0.75, 0.25], [11.0, 1.0, 0.25, 0.75], [8.0, 1.0, 0.0, 0.75], [3.0, 1.0, 0.5, 0.75], [7.0, 1.0, 0.25, 0.5], [14.0, 0.0, 0.25, 0.75], [6.0, 1.0, 0.25, 0.5], [13.0, 0.0, 0.5, 0.75], [4.0, 1.0, 0.25, 0.5], [10.0, 1.0, 0.25, 0.5], [15.0, 1.0, 0.0, 0.75], [2.0, 0.0, 1.0, 0.75], [9.0, 1.0, 0.25, 0.5], [5.0, 1.0, 0.25, 1.0], [12.0, 0.0, 0.25, 0.5]];[]
64e539d9-879f-4d46-bb9a-9f8f9ab986e6;Wed Aug  2 16:10:23 2023;"[array([1., 1., 1., 0., 0., 0., 0., 0., 0.]), array([1., 1., 0., 1.]), array(['Inclusiveness', 'Well-being', 'Environmental sustainability',
       'Privacy', 'Security of supply', 'Affordability'], dtype=object), array(['1:Inclusiveness/Affordability', '11:Privacy/Well-being',
       '8:Security of supply/Environmental sustainability',
       '3:Affordability/Privacy', '7:Security of supply/Inclusiveness',
       '14:Environmental sustainability/Well-being',
       '6:Privacy/Security of supply',
       '13:Inclusiveness/Environmental sustainability',
       '4:Well-being/Affordability',
       '10:Privacy/Environmental sustainability',
       '15:Well-being/Security of supply',
       '2:Affordability/Environmental sustainability',
       '9:Privacy/Inclusiveness', '5:Security of supply/Affordability',
       '12:Inclusiveness/Well-being'], dtype=object)]";"['18 - 24 ans' 'Etudiant' '0' 'Non' 'Oui' 'Variable' 'Variable'
 'Principale' '\n']";[0.8333333333333334, 1.0, 1.0, 1.0, 0.33333333333333337, 0.8333333333333334];[[1.0, 1.0, 0.75, 0.25], [11.0, 0.0, 0.0, 1.0], [8.0, 1.0, 0.5, 1.0], [3.0, 0.0, 0.25, 1.0], [7.0, 1.0, 0.75, 1.0], [14.0, 0.0, 0.75, 1.0], [6.0, 0.0, 1.0, 0.5], [13.0, 1.0, 0.75, 0.5], [4.0, 0.0, 0.75, 1.0], [10.0, 0.0, 0.75, 1.0], [15.0, 1.0, 0.75, 1.0], [2.0, 1.0, 0.25, 1.0], [9.0, 0.0, 0.25, 0.5], [5.0, 1.0, 0.0, 0.75], [12.0, 1.0, 1.0, 0.75]];[]
d2f9309e-ec41-4b22-b2d8-594733be6d85;Wed Aug  2 19:34:09 2023;"[array([1., 1., 1., 0., 0., 0., 0., 0., 0.]), array([1., 1., 0., 1.]), array(['Inclusiveness', 'Well-being', 'Environmental sustainability',
       'Privacy', 'Security of supply', 'Affordability'], dtype=object), array(['1:Inclusiveness/Affordability', '11:Privacy/Well-being',
       '8:Security of supply/Environmental sustainability',
       '3:Affordability/Privacy', '7:Security of supply/Inclusiveness',
       '14:Environmental sustainability/Well-being',
       '6:Privacy/Security of supply',
       '13:Inclusiveness/Environmental sustainability',
       '4:Well-being/Affordability',
       '10:Privacy/Environmental sustainability',
       '15:Well-being/Security of supply',
       '2:Affordability/Environmental sustainability',
       '9:Privacy/Inclusiveness', '5:Security of supply/Affordability',
       '12:Inclusiveness/Well-being'], dtype=object)]";"['25 - 34 ans' 'Etudiant' '0' 'Non' 'Oui' 'Variable' 'Variable'
 'Principale' '\n']";[0.8333333333333334, 0.8333333333333334, 0.16666666666666674, 1.0, 0.0, 0.5];[[1.0, 0.0, 0.0, 1.0], [11.0, 1.0, 0.25, 1.0], [8.0, 1.0, 0.0, 1.0], [3.0, 1.0, 1.0, 1.0], [7.0, 1.0, 0.0, 0.5], [14.0, 0.0, 0.25, 0.75], [6.0, 1.0, 0.0, 0.0], [13.0, 1.0, 1.0, 0.0], [4.0, 1.0, 0.0, 1.0], [10.0, 1.0, 0.25, 1.0], [15.0, 1.0, 0.0, 1.0], [2.0, 1.0, 0.75, 1.0], [9.0, 1.0, 0.0, 0.25], [5.0, 1.0, 0.0, 1.0], [12.0, 0.0, 0.5, 0.25]];[]
 03d187c7-1e8b-4b7c-91bf-0140715928e6;Wed Aug  2 22:16:10 2023;"[array([1., 1., 1., 0., 0., 0., 0., 0., 0.]), array([1., 1., 0., 1.]), array(['Inclusiveness', 'Well-being', 'Environmental sustainability',
       'Privacy', 'Security of supply', 'Affordability'], dtype=object), array(['1:Inclusiveness/Affordability', '11:Privacy/Well-being',
       '8:Security of supply/Environmental sustainability',
       '3:Affordability/Privacy', '7:Security of supply/Inclusiveness',
       '14:Environmental sustainability/Well-being',
       '6:Privacy/Security of supply',
       '13:Inclusiveness/Environmental sustainability',
       '4:Well-being/Affordability',
       '10:Privacy/Environmental sustainability',
       '15:Well-being/Security of supply',
       '2:Affordability/Environmental sustainability',
       '9:Privacy/Inclusiveness', '5:Security of supply/Affordability',
       '12:Inclusiveness/Well-being'], dtype=object)]";['18 - 24 ans' 'Etudiant' '2' 'Non' 'Oui' 'Non' 'Oui' 'Principale' '\n'];[1.0, 0.8333333333333334, 0.5, 1.0, 0.33333333333333337, 1.0];[[1.0, 0.0, 0.75, 0.25], [11.0, 1.0, 1.0, 0.5], [8.0, 1.0, 0.0, 0.5], [3.0, 1.0, 1.0, 0.5], [7.0, 1.0, 0.75, 1.0], [14.0, 0.0, 0.75, 1.0], [6.0, 1.0, 1.0, 0.5], [13.0, 0.0, 0.25, 0.75], [4.0, 1.0, 0.0, 0.5], [10.0, 1.0, 0.75, 0.5], [15.0, 1.0, 0.25, 0.5], [2.0, 0.0, 0.75, 0.5], [9.0, 1.0, 0.75, 0.75], [5.0, 0.0, 0.5, 0.5], [12.0, 0.0, 0.25, 0.5]];[]
d59e7a94-77d6-4491-9c05-97f588890815;Thu Aug  3 15:59:32 2023;"[array([1., 1., 1., 0., 0., 0., 0., 0., 0.]), array([1., 1., 0., 1.]), array(['Inclusiveness', 'Well-being', 'Environmental sustainability',
       'Privacy', 'Security of supply', 'Affordability'], dtype=object), array(['1:Inclusiveness/Affordability', '11:Privacy/Well-being',
       '8:Security of supply/Environmental sustainability',
       '3:Affordability/Privacy', '7:Security of supply/Inclusiveness',
       '14:Environmental sustainability/Well-being',
       '6:Privacy/Security of supply',
       '13:Inclusiveness/Environmental sustainability',
       '4:Well-being/Affordability',
       '10:Privacy/Environmental sustainability',
       '15:Well-being/Security of supply',
       '2:Affordability/Environmental sustainability',
       '9:Privacy/Inclusiveness', '5:Security of supply/Affordability',
       '12:Inclusiveness/Well-being'], dtype=object)]";"['18 - 24 ans' 'Etudiant' '0' 'Variable' 'Oui' 'Oui' 'Oui' 'Principale'
 '\n']";[0.6666666666666667, 0.5, 0.6666666666666667, 1.0, 0.5, 0.6666666666666667];[[1.0, 0.0, 0.25, 0.5], [11.0, 1.0, 0.25, 0.75], [8.0, 0.0, 0.75, 0.5], [3.0, 1.0, 0.25, 0.5], [7.0, 1.0, 0.0, 0.5], [14.0, 0.0, 0.75, 0.5], [6.0, 1.0, 0.25, 0.5], [13.0, 0.0, 0.75, 0.5], [4.0, 1.0, 0.25, 0.5], [10.0, 1.0, 0.25, 0.5], [15.0, 1.0, 0.25, 0.5], [2.0, 0.0, 0.75, 0.5], [9.0, 1.0, 0.25, 0.5], [5.0, 1.0, 0.5, 0.5], [12.0, 0.0, 1.0, 0.5]];[]
8ed5ad41-a591-431b-8983-10aee24b6408;Thu Aug  3 18:09:37 2023;"[array([1., 1., 1., 0., 0., 0., 0., 0., 0.]), array([1., 1., 0., 1.]), array(['Inclusiveness', 'Well-being', 'Environmental sustainability',
       'Privacy', 'Security of supply', 'Affordability'], dtype=object), array(['1:Inclusiveness/Affordability', '11:Privacy/Well-being',
       '8:Security of supply/Environmental sustainability',
       '3:Affordability/Privacy', '7:Security of supply/Inclusiveness',
       '14:Environmental sustainability/Well-being',
       '6:Privacy/Security of supply',
       '13:Inclusiveness/Environmental sustainability',
       '4:Well-being/Affordability',
       '10:Privacy/Environmental sustainability',
       '15:Well-being/Security of supply',
       '2:Affordability/Environmental sustainability',
       '9:Privacy/Inclusiveness', '5:Security of supply/Affordability',
       '12:Inclusiveness/Well-being'], dtype=object)]";"['18 - 24 ans' 'Etudiants' '3' 'Oui' 'Oui' 'Variable' 'Variable'
 'Principale' '\n']";[0.8333333333333334, 0.8333333333333334, 1.0, 0.8333333333333334, 0.6666666666666667, 0.5];[[1.0, 1.0, 0.25, 0.5], [11.0, 0.0, 0.75, 0.75], [8.0, 0.0, 0.0, 0.5], [3.0, 0.0, 0.25, 1.0], [7.0, 1.0, 0.5, 0.5], [14.0, 1.0, 0.75, 1.0], [6.0, 1.0, 1.0, 0.75], [13.0, 1.0, 1.0, 0.75], [4.0, 1.0, 0.25, 0.5], [10.0, 0.0, 0.75, 0.5], [15.0, 1.0, 0.0, 0.75], [2.0, 1.0, 0.75, 0.5], [9.0, 0.0, 1.0, 0.75], [5.0, 1.0, 0.25, 0.5], [12.0, 1.0, 0.75, 0.75]];[]
033313c0-ab10-48d2-80f4-9312ce2d1934;Thu Aug  3 19:09:40 2023;"[array([1., 1., 1., 0., 0., 0., 0., 0., 0.]), array([1., 1., 0., 1.]), array(['Inclusiveness', 'Well-being', 'Environmental sustainability',
       'Privacy', 'Security of supply', 'Affordability'], dtype=object), array(['1:Inclusiveness/Affordability', '11:Privacy/Well-being',
       '8:Security of supply/Environmental sustainability',
       '3:Affordability/Privacy', '7:Security of supply/Inclusiveness',
       '14:Environmental sustainability/Well-being',
       '6:Privacy/Security of supply',
       '13:Inclusiveness/Environmental sustainability',
       '4:Well-being/Affordability',
       '10:Privacy/Environmental sustainability',
       '15:Well-being/Security of supply',
       '2:Affordability/Environmental sustainability',
       '9:Privacy/Inclusiveness', '5:Security of supply/Affordability',
       '12:Inclusiveness/Well-being'], dtype=object)]";"['25 - 34 ans' 'Etudiants' '4' 'Variable' 'Oui' 'Variable' 'Variable'
 'Principale' 'non\n']";[1.0, 0.5, 0.33333333333333337, 0.8333333333333334, 0.16666666666666674, 0.8333333333333334];[[1.0, 0.0, 0.0, 0.75], [11.0, 1.0, 0.0, 1.0], [8.0, 1.0, 0.25, 0.75], [3.0, 1.0, 0.0, 1.0], [7.0, 1.0, 0.25, 0.75], [14.0, 0.0, 0.25, 0.75], [6.0, 1.0, 0.0, 0.75], [13.0, 0.0, 0.5, 0.75], [4.0, 1.0, 0.25, 0.75], [10.0, 1.0, 0.0, 0.75], [15.0, 1.0, 0.0, 0.75], [2.0, 1.0, 0.0, 0.75], [9.0, 1.0, 0.0, 0.75], [5.0, 1.0, 0.25, 0.75], [12.0, 0.0, 0.5, 0.75]];[]
fe0a02af-080d-4327-9380-4e8dd35ac016;Fri Aug  4 10:12:20 2023;"[array([1., 1., 1., 0., 0., 0., 0., 0., 0.]), array([1., 1., 0., 1.]), array(['Inclusiveness', 'Well-being', 'Environmental sustainability',
       'Privacy', 'Security of supply', 'Affordability'], dtype=object), array(['1:Inclusiveness/Affordability', '11:Privacy/Well-being',
       '8:Security of supply/Environmental sustainability',
       '3:Affordability/Privacy', '7:Security of supply/Inclusiveness',
       '14:Environmental sustainability/Well-being',
       '6:Privacy/Security of supply',
       '13:Inclusiveness/Environmental sustainability',
       '4:Well-being/Affordability',
       '10:Privacy/Environmental sustainability',
       '15:Well-being/Security of supply',
       '2:Affordability/Environmental sustainability',
       '9:Privacy/Inclusiveness', '5:Security of supply/Affordability',
       '12:Inclusiveness/Well-being'], dtype=object)]";"['18 - 24 ans' 'Etudiants' '1' 'Variable' 'Variable' 'Variable' 'Variable'
 'Principale' '\n']";[0.8333333333333334, 0.8333333333333334, 0.33333333333333337, 1.0, 0.33333333333333337, 0.5];[[1.0, 1.0, 0.5, 0.75], [11.0, 1.0, 0.25, 0.75], [8.0, 1.0, 0.25, 0.5], [3.0, 1.0, 0.0, 0.75], [7.0, 1.0, 0.5, 0.75], [14.0, 1.0, 0.25, 0.5], [6.0, 1.0, 0.25, 1.0], [13.0, 0.0, 0.5, 0.5], [4.0, 0.0, 0.25, 0.75], [10.0, 1.0, 0.25, 0.75], [15.0, 1.0, 0.25, 0.75], [2.0, 0.0, 0.5, 0.75], [9.0, 1.0, 0.25, 0.75], [5.0, 0.0, 0.5, 0.75], [12.0, 1.0, 0.5, 0.75]];[]
